lat lon wh time ws
-35.310295 154.79395 2.344 11610.799831362092 11.65
-35.320393 154.19978 3.5370002 11617.146076095 10.37
-35.319496 154.79916 1.9490001 11620.715474446653 7.345
-35.32135 154.20145 2.0655003 11627.061716472497 7.9049997
-35.32463 154.80284 1.5830001 11630.631118073594 10.355
-35.322964 154.19847 1.2845001 11636.97736879706 3.8999999
-35.322968 154.79938 4.0235004 11640.546772732167 15.36
-35.324226 154.19397 2.29 11646.893022008822 4.3149996
-35.330204 154.8029 5.308 11650.462426396087 15.139999
-35.325584 154.189 1.792 11656.808672688785 5.96
-35.323883 154.79788 1.5155001 11660.378074318229 7.0699997
-35.302925 154.20042 2.3470001 11666.724327618605 1.1
-35.316895 154.79083 2.887 11670.29372124566 11.275
-35.301846 154.20111 2.6520002 11676.639976309263 10.389999
-35.331177 154.79666 1.651 11680.209374027967 8.155
-35.30229 154.20206 2.345 11686.555624638335 9.349999
-35.327194 154.79266 2.42 11690.125010760268 9.504999
-35.32385 154.18875 2.059 11696.471255244454 9.485
-35.321823 154.78856 2.0055 11700.040657136706 8.224999
-35.303764 154.19917 1.771 11706.386906195781 4.95
-35.31473 154.78316 1.865 11709.956301088678 7.0
-35.303135 154.19771 1.6190001 11716.302550636581 8.599999
-35.32975 154.7909 1.9820001 11719.871947247535 8.08
-35.29696 154.2024 2.4390001 11726.218191505759 10.46
-35.339275 154.79643 1.498 11729.787588071427 4.52
-35.323776 154.18959 2.3505 11736.133823524753 9.99
-35.348118 154.80417 1.9385002 11739.703228533734 1.6949999
-35.324352 154.19379 2.0175002 11746.049461438204 6.7599998
-35.3089 154.78476 2.23 11749.618855975103 10.514999
-35.32529 154.19676 3.6000001 11755.965096752043 9.039999
-35.31974 154.79726 1.7615001 11759.534492775274 9.559999
-35.315056 154.80179 2.785 11779.365755389212 12.71
-35.323654 154.19843 1.4445001 11785.712007107213 7.075
-35.31623 154.79718 2.9965 11789.281408985262 10.639999
-35.32389 154.19543 1.7435 11795.62766022858 9.365
-35.328697 154.80124 1.5660001 11799.1970655201 7.22
-35.32148 154.19565 2.0175 11805.543312807451 5.83
-35.328903 154.7995 1.9770001 11809.112717737211 8.67
-35.320774 154.19505 4.0295 11815.458962764009 9.705
-35.317165 154.79181 1.7665001 11819.02836524963 6.0099998
-35.501167 154.45422 5.493 11888.43811125576 18.65
-35.2235 154.14777 4.3780003 11900.731913881667 14.67
-35.390995 154.76382 2.3960001 11905.292452166555 9.49
-35.501907 154.35846 4.882 11917.586211841728 15.6
-35.077896 154.95311 3.9630003 11922.1467416269 1.0799999
-35.54625 154.71588 2.6085 11934.440563693584 10.834999
-35.883724 154.0832 4.6955004 11935.040140849946 16.455
-35.362892 154.2255 2.3525002 11981.042516106507 9.344999
-35.240875 154.83473 1.5730001 11985.6030608 3.75
-35.504555 154.50883 3.9275002 11997.89687680843 13.525
-35.667595 154.78468 1.47 12014.751209852402 3.34
-35.755234 154.15524 1.588 12015.350783148897 2.33
-35.960587 154.98267 2.068 12031.605508535868 3.67
-35.492775 154.36987 1.2805002 12032.205089608673 1.51
-35.153965 154.11188 1.286 12044.498913935851 8.24
-35.442314 154.71779 1.3970001 12049.059447066742 9.09
-35.471195 154.29901 1.9100001 12061.353200683603 6.16
-35.15519 154.92398 2.3200002 12065.913741500292 11.795
-35.54641 154.63377 2.1295 12078.20756659616 6.92
-35.71411 154.37437 1.8500001 12095.661361762148 3.21
-35.311016 154.17126 2.3100002 12124.809528356534 2.25
-35.30926 154.79633 2.6695 12129.37006718386 13.559999
-35.504295 154.42952 2.2165 12141.663847565826 8.719999
-35.585526 154.7628 2.904 12158.518198332633 9.78
-35.802048 154.11972 4.5020003 12159.117763457121 12.18
-35.60157 154.36566 2.6165001 12175.972037760424 13.195
-35.102386 154.06357 2.7510002 12188.265894278069 9.559999
-35.50936 154.6842 4.3300004 12192.826436270261 13.21
-35.40719 154.25845 4.8645 12205.120191978174 16.419998
-35.208405 154.8771 2.4110003 12209.680733687768 6.4049997
-35.501236 154.58102 4.2435 12221.974541015632 13.035
-35.717583 154.83005 2.9965 12238.828849464713 13.74
-35.709686 154.1966 3.108 12239.428424479207 13.799999
-35.27009 154.16663 1.8085 12268.576387984678 5.94
-35.346943 154.78514 1.5810001 12273.13692086679 6.02
-35.490746 154.41159 4.6320004 12285.430701723439 14.45
-35.02763 154.97217 2.0340002 12289.99122016062 6.42
-35.7079 154.63852 2.494 12302.285094288061 9.13
-35.651665 154.35915 2.923 12319.738887532556 6.035
-35.084045 154.04321 2.8955002 12332.03274675156 11.78
-35.504784 154.64664 2.9510002 12336.593281611684 9.24
-35.21017 154.84981 4.6225004 12353.447576587845 12.360001
-35.505184 154.54285 1.5125 12365.741377314844 8.12
-35.680096 154.82034 2.125 12382.595694263582 9.559999
-35.708855 154.16504 1.613 12383.195259037719 6.62
-35.511513 154.4268 3.15 12400.049569973373 12.599999
-35.490837 154.33047 1.9470001 12429.197672616458 9.24
-35.11367 154.9412 2.1595001 12433.758209092892 8.754999
-35.619293 154.63156 2.249 12446.052053957363 9.2
-35.817654 154.89156 2.1350002 12462.90631872107 5.46
-35.584133 154.2456 1.774 12463.505886592204 3.98
-35.495224 154.70729 0.818 12560.670927553554 5.04
-35.01183 154.02074 4.879 12572.966223596595 14.5199995
-35.512016 154.58098 1.5320001 12577.5267421694 4.43
-35.331196 154.20337 3.3890002 12589.82051576965 13.54
-35.297073 154.82846 2.1880002 12594.381058304396 8.92
-35.506973 154.47551 1.9420002 12606.67483814375 11.69
-35.639156 154.7766 2.0025 12623.529165762418 5.105
-35.767094 154.13077 1.4345001 12624.128737103485 5.6549997
-35.551956 154.37881 3.8960001 12640.983031412761 12.49
-35.136803 154.0889 3.066 12653.276864488376 11.215
-35.477608 154.71184 2.3660002 12657.837405960658 9.5199995
-35.451664 154.27545 3.79 12670.13115382439 12.54
-35.181458 154.90706 3.236 12674.691698133713 9.42
-35.509377 154.62172 1.9190001 12686.98551070597 6.99
-35.96131 154.01732 1.638 12687.585097656236 6.6949997
-34.480583 154.29564 1.7420001 11610.799624746782 9.599999
-34.49079 154.69812 3.4970002 11617.146282732952 10.139999
-34.48983 154.30077 1.8340001 11620.715267831343 5.5
-34.49175 154.69977 1.9740001 11627.061923104688 7.3599997
-34.495003 154.30443 1.7470001 11630.630911458284 9.74
-34.49338 154.69681 1.35 11636.97757541237 4.5899997
-34.493362 154.301 4.5670004 11640.546566116856 15.33
-34.494682 154.69235 1.9760001 11646.893228624132 4.5699997
-34.500664 154.30441 4.7180004 11650.462219780777 13.27
-34.49607 154.68744 1.6290001 11656.808879304095 6.2999997
-34.49435 154.29945 1.2320001 11660.377867657691 4.0099998
    
-34.487335 154.2925 2.569 11670.293514630408 8.99
-34.495945 154.6851 2.522 11676.640177047113 12.23
-34.501644 154.29817 1.5560001 11680.209167390014 8.42
-34.496346 154.68604 2.301 11686.555825376185 10.969999
-34.497623 154.29424 1.9980001 11690.124804144958 7.7799997
-34.494198 154.68713 1.7800001 11696.471461859765 8.7699995
-34.492226 154.29022 1.5480001 11700.04045050731 7.89
-34.49777 154.68323 1.557 11706.387106933631 4.69
-34.485107 154.28491 1.7820001 11709.956094473368 8.099999
-34.49712 154.6818 1.3700001 11716.302751374431 5.24
-34.500195 154.29243 2.0070002 11719.871740632225 6.99
-34.4909 154.68639 2.96 11726.218392198323 11.54
-34.48602 154.2838 1.628 11729.787375578657 7.12
-34.49404 154.688 2.2150002 11736.134030151414 10.03
-34.518642 154.30553 1.5090001 11739.703021918423 2.52
-34.49461 154.69218 2.367 11746.049668070511 8.95
-34.479305 154.28668 2.9280002 11749.618649269338 13.61
-34.49557 154.69518 4.201 11755.965303457808 12.309999
-34.490208 154.29901 1.8130001 11759.534286114736 9.13
-34.485523 154.30356 2.664 11779.365548773902 12.38
-34.494015 154.69688 1.4670001 11785.712213722523 6.45
-34.486683 154.2989 2.802 11789.281202347367 11.469999
-34.49423 154.69388 1.3750001 11795.627866934286 5.04
-34.499153 154.3028 1.467 11799.196858882206 6.85
-34.491783 154.69403 2.144 11805.543519422761 8.74
-34.49933 154.30103 1.8655001 11809.112511099374 7.8849998
-34.49107 154.69345 3.765 11815.459169379319 10.86
-34.487534 154.29347 1.7960001 11819.028158620233 7.12
-34.428883 154.24619 1.3185 11883.87774070457 5.38
-34.872536 154.07294 3.9760003 11888.437955367495 16.805
-34.50084 154.58154 4.808 11900.73209291813 14.49
-34.55205 154.25844 2.585 11905.292244285345 9.99
-34.710106 154.83743 5.644 11917.586408058472 16.84
-34.494812 154.60399 1.7485001 11922.146597244835 2.9099998
-34.236683 154.83891 5.965 11939.000895018457 16.859999
-34.523956 154.7304 2.4255 11981.042724010302 10.135
-34.494858 154.3868 1.4480001 11985.60287597659 4.97
-34.852726 154.90414 3.9850001 11997.897038483818 13.16
-34.431763 154.72461 1.9810001 12002.457248263876 5.1
-34.035683 154.01599 1.695 12010.79044849542 8.7699995
-34.130707 154.9247 1.7830001 12019.311546585639 8.7
-34.364723 154.20233 2.6250002 12027.64473849826 8.809999
