lat lon wh time ws
-46.49982 175.49449 4.1660004 8587.832692238153 13.69
-46.233845 175.76363 3.2530003 8593.437754358398 8.099999
-46.610317 175.38718 3.1895003 8597.748310818104 6.2999997
-46.084686 175.62187 2.848 8603.353359736735 11.684999
-46.48978 175.50237 3.41 8607.66398744937 7.75
-46.2433 175.76895 3.4075003 8613.269045523193 5.64
-46.4879 175.50516 3.6950002 8617.579630895518 13.0
-46.36942 175.888 2.7730002 8623.184721883154 7.33
-46.489548 175.50629 3.785 8627.495272352477 4.97
-46.22454 175.75313 2.884 8633.10032407404 4.85
-46.488247 175.5102 4.059 8637.410912091262 6.6
-46.26032 175.78975 3.134 8643.015977828414 6.8199997
-46.486523 175.50868 3.9700003 8647.326561776572 9.309999
-46.242577 175.77249 3.7050002 8652.931624801015 7.0
-46.527843 175.4641 1.539 8657.242201018147 5.7799997
-46.23823 175.76698 3.153 8662.84727267793 5.67
-46.506218 175.47955 3.5635002 8667.157855021185 11.455
-46.2462 175.77173 3.7310002 8672.762922091992 14.849999
-46.485687 175.49684 3.039 8677.07350772433 6.99
-46.16145 175.68912 3.6365001 8682.678546459065 10.69
-46.509766 175.47379 2.633 8686.989148401306 7.47
-46.252975 175.7738 3.3620002 8692.594217664911 12.74
-46.489555 175.4935 3.8820002 8696.904800528078 8.45
-46.237526 175.76022 4.9630003 8702.50985830801 13.0
-46.51168 175.4715 5.5765 8706.820438639377 8.065
-46.22439 175.75105 2.3000002 8712.4254962384 3.21
-46.489628 175.49191 2.7440002 8716.736085611978 5.65
-46.2294 175.75883 3.8950002 8722.341136791045 12.42
-46.467674 175.51413 2.161 8726.651730233687 3.23
-46.224586 175.75539 2.5790002 8732.256773681613 9.599999
-46.5131 175.47476 1.6570001 8736.567355956999 5.925
-46.22778 175.75851 3.4020002 8742.172412878019 11.62
-46.49028 175.50107 2.052 8746.482999764849 7.22
-46.256237 175.78635 1.9970001 8752.088058516849 6.8199997
-46.491043 175.50195 2.368 8756.398642306915 8.059999
-46.1612 175.6941 1.748 8762.00368430803 7.75
-46.44461 175.54312 2.025 8766.314295156975 5.7799997
-46.25339 175.77751 2.069 8771.919348415802 5.31
-46.254845 175.77423 2.9510002 8781.83499837236 10.639999
-46.48976 175.49495 3.028 8786.145582772675 8.5199995
-46.371872 175.88156 2.3320003 8791.750678620534 7.0499997
-46.490753 175.49406 2.651 8796.061231779866 8.74
-46.255684 175.76941 3.0900002 8801.666296477197 7.99
-46.492687 175.49225 3.466 8805.976880425354 5.45
-46.36979 175.87836 2.4095001 8811.581975278445 6.005
-46.49237 175.49132 2.983 8815.892527669319 4.93
-46.256382 175.77396 1.8980001 8821.497590241604 4.97
-46.493546 175.48756 4.2330003 8825.808170753764 12.96
-46.2563 175.77611 2.551 8831.413231879356 7.33
-46.491295 175.48653 4.454 8835.723811668111 12.67
-46.255318 175.77531 1.6100001 8841.32887053315 8.03
-46.49171 175.48564 4.48 8845.639450050658 14.2699995
-46.253963 175.77383 1.9720001 8851.244507921045 4.0699997
-46.491394 175.48848 5.3970003 8855.555087890592 12.849999
-46.252586 175.77356 1.9020001 8861.160145489732 9.0199995
-46.489773 175.49434 2.585 8865.470725459396 8.559999
-46.25487 175.77904 3.4310002 8871.07578371407 13.179999
-46.48853 175.49913 6.768 8875.386361490935 12.809999
-46.25247 175.78156 4.053 8880.991419089958 13.87
-46.46582 175.52275 4.1070004 8885.302001455799 10.045
-46.236885 175.77188 3.44 8890.907049244037 10.21
-46.486103 175.50183 4.0740004 8895.217636718764 9.13
-46.258194 175.79001 3.1220002 8900.822703450569 9.74
-46.48599 175.50021 5.017 8905.133285183343 16.06
-46.22312 175.75372 3.1550002 8910.73834110971 4.67
-46.486835 175.50038 5.122 8915.048932529055 11.73
-46.254604 175.7806 3.8790002 8920.653996491572 12.38
-46.48905 175.49992 3.492 8924.964579173946 14.929999
-46.25983 175.78441 3.469 8930.569645001437 7.71
-46.444614 175.54184 4.27 8934.880237811012 14.309999
-46.26133 175.78526 4.307 8940.485290798591 11.219999
-46.466637 175.51945 4.2385 8944.795876555261 9.58
-46.261684 175.78459 3.3130002 8950.400933973491 11.469999
-46.48931 175.49693 2.693 8954.711513490998 10.059999
-46.258404 175.77971 2.4020002 8960.3165747975 9.09
-46.55574 175.43445 7.4220004 8964.627137586824 19.914999
-46.202854 175.72543 4.7845 8970.232201312028 13.924999
-46.489624 175.50023 3.8220003 8974.542796676047 13.29
-46.258244 175.77908 3.5960002 8980.14785716869 9.309999
-46.510887 175.48352 2.0415 8984.458431125211 5.675
-46.221764 175.74976 2.061 8990.063487130567 3.1
-46.509315 175.48648 2.3655 8994.37406946253 5.535
-46.217747 175.75192 2.63 8999.979123625555 11.29
-46.485565 175.50641 2.933 9004.289716525585 11.759999
-46.22211 175.75507 4.0880003 9009.894773943815 9.599999
-46.483208 175.50252 2.4190001 9014.205365894479 1.52
-46.259914 175.7866 2.148 9019.8104316768 1.8499999
-46.506588 175.47635 2.414 9024.121006967034 8.115
-46.254993 175.77771 3.3980002 9029.726076208055 2.96
-46.464706 175.51614 4.8840003 9034.036665047577 10.389999
-46.239082 175.76132 2.3385 9039.641717755352 5.46
-46.488743 175.495 3.1710002 9043.95230504917 9.559999
-46.304543 175.82458 7.373 9049.557380823186 12.09
-46.48988 175.49478 1.6980001 9053.867949580424 3.72
-46.216267 175.74394 2.749 9059.473000488244 9.309999
-46.490055 175.49306 2.3630002 9063.78359139897 6.5099998
-46.261223 175.78847 3.1560001 9069.388653157512 6.21
-46.481243 175.49907 4.841 9073.699233579333 7.7799997
-46.260746 175.78848 3.315 9079.304291630513 9.99
-46.55504 175.429 2.5310001 9083.614852430532 8.03
-46.25314 175.78035 1.7960001 9089.219927571598 7.0499997
-46.505478 175.48141 3.0410001 9093.530504512077 7.9749994
-46.25393 175.78096 3.5390003 9099.135566338431 7.9199996
-46.511223 175.48163 2.15 9103.446141583496 4.295
-46.254204 175.78258 2.5180001 9109.051205003518 2.1599998
-46.49068 175.50484 2.69 9113.361784396693 8.28
-46.256645 175.78685 2.3600001 9118.966846788186 6.7
-46.48834 175.50414 2.125 9123.277431685827 3.3
-46.27926 175.8046 3.7385 9128.882504521112 15.565
-46.423737 175.56113 4.504 9133.193099613884 9.09
-46.262527 175.78333 2.2340002 9138.798149956623 8.28
-46.490417 175.49525 2.135 9143.10873193806 3.34
-46.262184 175.7785 1.9410001 9148.713799189776 4.14
-46.446156 175.53809 1.7860001 9153.024393742904 5.62
-46.26054 175.77556 1.266 9158.629447518848 3.11
-46.47023 175.51466 1.562 9162.940036259359 1.42
-46.26361 175.78075 2.16 9168.545095395646 7.7799997
-46.53561 175.4503 1.5230001 9172.85566424334 5.7799997
-46.25295 175.77527 2.9940002 9178.460736400448 6.21
-46.50304 175.47798 2.6020002 9182.771314380807 5.96
-46.1848 175.71298 3.0125 9188.376358778216 10.225
-46.292686 175.6752 4.174 9192.6870098199 11.545
-46.251007 175.77362 2.661 9198.292015064391 5.62
-46.51182 175.46677 6.622 9202.602589246933 19.849998
-46.25865 175.77853 4.5940003 9208.207654803293 11.87
-46.489304 175.49191 2.799 9212.51823350694 9.38
-46.257744 175.77898 2.96 9218.12329219107 10.24
-46.488293 175.49771 1.889 9222.43387080438 6.24
-46.25344 175.78038 3.864 9228.03892761236 5.04
-46.488747 175.5015 2.453 9232.349505298771 3.29
-46.25517 175.78734 5.458 9237.954566333909 12.559999
-46.442207 175.54411 3.5900002 9242.26516027376 9.059999
-46.216248 175.74979 2.8040001 9247.870203450555 9.24
-46.506493 175.4784 2.7755 9252.18078870984 4.92
-46.257423 175.78549 2.1920002 9257.78585973673 5.43
-46.506996 175.4761 3.4520001 9262.096433546278 11.344999
-46.301773 175.82388 2.242 9267.701515118591 2.02
-46.504417 175.48065 2.5925002 9272.012078906118 3.04
-46.259617 175.78186 5.703 9277.617147171637 11.98
-46.487812 175.50015 2.207 9281.927727683797 5.7799997
-46.2605 175.78334 3.1060002 9287.532790256082 5.91
-46.753666 175.24625 3.4850001 9291.843298430322 10.679999
-46.257507 175.78215 3.4110003 9297.448430266231 8.63
-46.48907 175.50081 3.256 9301.759009331581 13.65
-46.22758 175.75473 4.1000004 9307.364061234053 11.04
-46.488823 175.5007 2.4720001 9311.674647623731 9.83
-46.264744 175.78973 4.303 9317.27970883972 4.43
-46.487663 175.50365 3.6590002 9321.59028537327 10.099999
-46.223053 175.75046 2.469 9327.195334698656 6.7599998
-46.488842 175.50607 3.5740001 9331.505921856966 8.21
-46.22377 175.754 3.164 9337.110971204937 9.09
-46.53109 175.46753 2.844 9341.421553728986 5.31
-46.286896 175.8141 3.2235003 9347.026639987773 9.004999
-46.48547 175.50758 3.9810002 9351.337216254324 11.36
-46.24157 175.77252 3.5220003 9356.942277108668 5.01
-46.50503 175.4832 4.2770004 9361.25285791466 12.71
-46.241585 175.77261 2.1015 9366.857923629228 5.87
-46.571354 175.41518 3.413 9371.168484655325 11.98
-46.221844 175.75046 5.0290003 9376.773562644725 16.31
-46.50603 175.47644 3.4545002 9381.08414599381 3.33
-46.257565 175.78065 2.9490001 9386.68921495229 6.24
-46.50688 175.47707 4.9715004 9390.99978940608 14.105
-46.258793 175.781 5.8510003 9396.604857132537 12.63
-46.486523 175.49916 2.482 9400.9154380064 8.99
-46.274685 175.79974 4.7805004 9406.52050193504 7.33
-46.466587 175.52014 1.866 9410.831083170604 5.96
-46.240585 175.77264 3.3575 9416.43613055197 4.87
-46.533092 175.45705 2.9610002 9420.746701750555 7.71
-46.23544 175.77136 2.3040001 9426.351764639432 2.79
-46.488834 175.4994 2.821 9430.66234754771 10.86
-46.253468 175.78899 2.154 9436.267403293168 8.84
-46.488594 175.50116 3.6980002 9440.57798357925 10.059999
-46.185608 175.72037 2.8435001 9446.183030327724 5.22
-46.489178 175.50021 1.988 9450.493633987964 4.35
-46.3051 175.82867 3.259 9456.098711977364 11.65
-46.554832 175.43872 1.8875 9460.409266176575 5.3599997
-46.275593 175.79858 2.8970003 9466.01435271866 5.015
-46.510975 175.48076 3.2145 9470.324925672729 8.84
-46.254253 175.77803 1.9700001 9475.92999421293 4.3399997
-46.490883 175.49821 1.9620001 9480.240576759563 4.37
-46.25661 175.77962 2.936 9485.845640190993 8.03
-46.489338 175.49747 3.1580002 9490.156221155194 5.52
-46.252117 175.77316 2.4490001 9495.76128237124 7.19
-46.36713 175.6134 2.5310001 9500.071897289134 4.6800003
-46.254272 175.77399 1.424 9505.676925636595 6.85
-46.51278 175.47583 3.5695002 9509.987500994699 6.745
-46.25103 175.77228 3.5170002 9515.592566370033 6.85
-46.57894 175.41331 2.4420002 9519.903124276665 3.3999999
-46.05304 175.59064 2.5645003 9525.508151900664 7.59
-46.51352 175.47641 3.1205 9529.818779206485 8.4
-46.246452 175.77861 4.51 9535.423838885268 6.5099998
-46.492706 175.49622 2.552 9539.73441894527 3.83
-46.234406 175.77133 1.733 9545.339468722872 4.3199997
-46.506958 175.4837 2.5005002 9549.650046838855 5.4049997
-46.234715 175.77246 2.1360002 9555.255101476563 8.615
-46.46801 175.52173 3.1635003 9559.565698242164 9.504999
-46.250523 175.78069 1.6240001 9565.170758192311 5.96
-46.44621 175.54114 2.9620001 9569.48135579424 10.28
-46.251175 175.7781 3.5230002 9575.086409233976 6.95
-46.488255 175.5 2.407 9579.396994176786 10.75
-46.25425 175.78157 3.5200002 9585.002058592509 12.889999
-46.59684 175.39429 3.4695 9589.312611897767 9.49
-46.251686 175.78119 2.927 9594.91770290793 6.85
-46.575047 175.4138 5.5000005 9599.22826027195 5.3599997
-46.255417 175.78487 3.239 9604.833345269086 14.49
-46.46422 175.5193 2.3815002 9609.143929737213 6.345
-46.255608 175.78352 3.006 9614.748984375037 5.99
-46.55333 175.43541 2.494 9619.059544152173 4.73
-46.26116 175.78784 2.9870002 9624.66462311917 5.13
-46.48902 175.50089 2.8500001 9628.975198567729 7.54
